*	Quality Status	Status	MO Status	Rolls to Pack	Rolls To Transfer	Skids Left to Transfer	Fab to Inspect/Unassign	MO Promise Date	SO Promise Date	FG Panel Items		FG MO	Ship To Customer	Ship To Customer	Core Size	A Grade Completed	FG Req Qty	Open Qty	Extrusion Completed	Fab Metres Prod.	# Of Aframes	Fab MO	Available Master Qty	Fab Item	Fab Description	Sold To	Prod Structure	Pri	Type	Dest	Target Roll Len	Bags Required	Assigned Machine	Scheduled Machine	Activity	Hrs	Days	Schedule Complete Date	
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/27	2025/06/27	26476     62"	26476    062.0000 01	0000554560	0001630001	VINTEX STOCK	CR2X63	0.00	1,000.00	1,000.00	false	0.00	0	0000554561	0.0	26476	Fab Vina GARD® 51-19 Grey Vel 62"	STOCK	31/51/31 - 19oz	999999999	IV	ON, CA	50.00	false	INSPECT5	INSPECT5	DOUBLEPASSNARROW	3.90588	0		
	NOT STARTED-SCHEDULED	N	Scheduled				370.00	2025/06/26	2025/06/27	T247302I  76"	T247302I 076.0000 02	0000554569	0001630001	VINTEX STOCK	CR3x79	0.00	300.00	300.00	true	370.00	1	0000554570	0.0	T247302I	Fab SoffTICK® LS 953-16 Black Vel / Vet 80"	STOCK	EC0658/53/9/EC0658 - 16oz	999999999	IV	ON, CA	91.44	false	INSPECT5	INSPECT5	STDEXTRAWIDE	0.75882	0		
	NOT STARTED-SCHEDULED	N	Scheduled				245.00	2025/06/26	2025/06/27	T247302J  76"	T247302J 076.0000 01	0000554571	0001630001	VINTEX STOCK	CR3X79	0.00	300.00	300.00	true	245.00	1	0000554572	0.0	T247302J	Fab SoffTICK® 189-9 Black Vel / Vel 76"	STOCK	EC0658/18x9/EC0658 - 9oz	999999999	IV	ON, CA	91.44	false	INSPECT5	INSPECT5	DOUBLEPASSWIDE	0.68471	0		
	NOT STARTED-SCHEDULED	N	Scheduled				320.00	2025/06/26	2025/06/27	T247302K  76"	T247302K 076.0000 01	0000554573	0001630001	VINTEX STOCK	CR3X79	0.00	300.00	300.00	true	320.00	1	0000554574	0.0	T247302K	Fab SoffTICK® 50099-8.5 Black Vel / Vel 76"	STOCK	EC0658/500d99/EC0658 - 8.5oz	999999999	IV	ON, CA	91.44	false	INSPECT5	INSPECT5	DOUBLEPASSWIDE	0.68471	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/26	2025/06/27	30361     62"	30361    062.0000 01	0000554369	0000921007	LASALLE CANVAS & ROPES INC	CR2X63	0.00	1,000.00	1,000.00	false	0.00	0	0000554370	0.0	30361	Fab Vina GARD® AW53-16 Brown Vel 62"	LASALLE	11/AW53/11 - 16.3oz	999999999	IV	QC, CA	50.00	false	INSPECT5	INSPECT5	DOUBLEPASSNARROW	3.95294	0		
	NOT STARTED-SCHEDULED	N	Scheduled				6,073.00	2025/06/26	2025/06/27	25806     62" 100m roll bag	25806    062.0000 01	0000554505	0001630001	VINTEX STOCK	CR3X63	0.00	6,000.00	6,000.00	true	6,073.00	3	0000554506	0.0	25806	Fab Vintex® 53-13 VuThru Vel 62"	STOCK	56/53/56 - 13oz	999999999	IV	ON, CA	100.00	false	INSPECT6	INSPECT6	DOUBLEPASSNARROW	7.12941	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/26	2025/06/27	30129     61" Seams Sew Easy / Vintex Stock	30129    061.0000 02	0000554509	0001630001	VINTEX STOCK	CR3X63	0.00	2,000.00	2,000.00	false	0.00	0	0000554510	0.0	30129	Fab Vintex® Tricot KRC2-11.8 Grey Vel 61"	STOCK	58/500d99/58/Tricot - 11.8oz	999999999	IV	ON, CA	100.00	false	INSPECT6	INSPECT6	DOUBLEPASSWIDE	4.89412	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/27	2025/06/27	27147     61"	27147    061.0000 01	0000554634	0000311002	Comfortex Div Avatar Enterprises Inc	CR2X63	0.00	914.40	914.40	false	0.00	0	0000554635	0.0	27147	Fab SoffTICK® 53-14 Burgundy Vel 61"	COMFORTEX	PC079/53/PC079 - 14oz	999999999	IV	MN, US	68.58	false	INSPECT6	INSPECT6	DOUBLEPASSNARROW	3.23805	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/27	2025/06/27	30286     54"	30286    054.0000 01	0000554648	0001630001	VINTEX STOCK	CR3X54	0.00	1,000.00	1,000.00	false	0.00	0	0000554649	0.0	30286	Fab Vina GARD® 2x2-13 V-Clear2 UV Pat 56"	STOCK	93/2x2/93 - 13oz	999999999	IV	ON, CA	100.00	false	INSPECT6	INSPECT6	DOUBLEPASSNARROW	2.37647	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/26	2025/06/27	26485     62"	26485    062.0000 02	0000554367	0000921007	LASALLE CANVAS & ROPES INC	CR2X63	0.00	1,000.00	1,000.00	false	0.00	0	0000554368	0.0	26485	Fab Vina GARD® 53-14 Black Vel 62"	LASALLE	11/53/11 - 14oz	999999999	IV	QC, CA	50.00	false	INSPECT6	INSPECT6	DOUBLEPASSNARROW	3.55294	0		
	INSPECTION IN PROGRESS	I	In Progress		4	1	0.00	2025/06/29	2025/06/30	30232     63" 3" cores	30232    063.0000 09	0000553742	0001587253	ZEN LINEN	CR3X63	1,792.00	90,525.60	88,733.60	false	0.00	0	USE MASTER	36,129.0	30232	Fab V-Care® AB 7/19 Pillow Super White Vel 67"	SPEC-TEX INC	7/PC019 - 5.2oz	999999999	IV	, IN	448.00	false	INSPECT6	INSPECT6	STD_INSPECTION	69.22546	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/29	2025/06/30	T247302N  62"	T247302N 062.0000 01	0000554690	0001630001	VINTEX STOCK	CR2X63	0.00	300.00	300.00	false	0.00	0	0000554691	0.0	T247302N	Fab Vina GARD® AW53-16 Brown Vel 62"	STOCK	EC0676/AW53/EC0676 - 16.2oz	999999999	IV	ON, CA	50.00	false	INSPECT6	INSPECT6	DOUBLEPASSNARROW	1.18588	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/26	2025/07/07	30286     54" Universal International Services	30286    054.0000 02	0000554665	0000155002	UNIVERSAL INTN'L/BRADFORD DE MEXICO	CR3X54	0.00	1,097.28	1,097.28	false	0.00	0	0000554666	0.0	30286	Fab Vina GARD® 2x2-13 V-Clear2 UV Pat 56"	BRADFO	93/2x2/93 - 13oz	999999999	IV	TX, US	182.88	false	INSPECT6	INSPECT6	DOUBLEPASSNARROW	2.13001	0		
	NOT STARTED-SCHEDULED	N	Scheduled				0.00	2025/06/23	2025/07/11	26250     60"	26250    060.0000 01	0000554676	0000144002	BLACHFORD INC	CR3X63	0.00	548.64	548.64	false	0.00	0	0000554677	0.0	26250	Fab Vintex® NP-24 (AR) Mojave Brown D Twist 60"	BLACHFORD	NP4.5/37 - 23.7oz	999999999	IV	IL, US	182.88	false	INSPECT1	INSPECT1	SEWNWELDSPLICE	1.16183	0		
